CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
200066,0,36.0,COMPANYINVITED,1,17.0,SALARIED,MALE,3,4.0,DELUXE,4.0,UNMARRIED,2.0,0,4,1,1.0,MANAGER,21499.0
200067,0,45.0,SELFENQUIRY,1,13.0,SALARIED,MALE,2,3.0,STANDARD,5.0,MARRIED,3.0,0,3,1,1.0,SENIORMANAGER,24724.0
200068,0,35.0,COMPANYINVITED,1,6.0,SMALLBUSINESS,MALE,3,3.0,BASIC,5.0,DIVORCED,5.0,0,2,0,1.0,EXECUTIVE,17194.0
200070,0,59.0,COMPANYINVITED,3,6.0,SALARIED,FEMALE,2,4.0,DELUXE,3.0,SINGLE,1.0,0,5,1,1.0,MANAGER,20473.0
200071,0,29.0,SELFENQUIRY,1,8.0,SALARIED,MALE,3,3.0,BASIC,4.0,DIVORCED,1.0,0,4,0,0.0,EXECUTIVE,17703.0
200072,0,31.0,SELFENQUIRY,1,6.0,SMALLBUSINESS,MALE,2,3.0,BASIC,4.0,SINGLE,2.0,0,3,0,0.0,EXECUTIVE,17501.0
200073,0,32.0,SELFENQUIRY,1,6.0,SALARIED,MALE,3,3.0,DELUXE,4.0,DIVORCED,2.0,0,3,0,0.0,MANAGER,21220.0
200074,0,36.0,SELFENQUIRY,1,12.0,SALARIED,FEMALE,2,2.0,DELUXE,3.0,DIVORCED,4.0,0,2,0,0.0,MANAGER,18038.0
200077,0,45.0,SELFENQUIRY,1,12.0,SALARIED,MALE,2,3.0,STANDARD,5.0,DIVORCED,5.0,1,3,0,0.0,SENIORMANAGER,28245.0
200078,0,37.0,SELFENQUIRY,1,13.0,SMALLBUSINESS,MALE,1,3.0,STANDARD,3.0,SINGLE,5.0,0,2,0,0.0,SENIORMANAGER,28664.0
200080,0,30.0,SELFENQUIRY,1,6.0,SALARIED,MALE,2,4.0,DELUXE,3.0,DIVORCED,2.0,1,2,1,1.0,MANAGER,20126.0
200081,0,35.0,SELFENQUIRY,1,6.0,SMALLBUSINESS,MALE,1,4.0,BASIC,3.0,SINGLE,2.0,0,4,1,0.0,EXECUTIVE,17859.0
200082,0,55.0,SELFENQUIRY,3,6.0,SALARIED,MALE,3,3.0,STANDARD,3.0,DIVORCED,4.0,0,2,0,1.0,SENIORMANAGER,25239.0
200083,0,38.0,COMPANYINVITED,1,12.0,SMALLBUSINESS,FEMALE,3,5.0,DELUXE,3.0,MARRIED,1.0,1,2,0,2.0,MANAGER,20329.0
200085,0,56.0,SELFENQUIRY,1,13.0,SALARIED,MALE,2,5.0,STANDARD,3.0,UNMARRIED,5.0,0,2,0,0.0,SENIORMANAGER,22260.0
200086,0,23.0,SELFENQUIRY,3,8.0,LARGEBUSINESS,MALE,3,3.0,BASIC,5.0,MARRIED,4.0,0,3,1,1.0,EXECUTIVE,17322.0
200087,0,51.0,SELFENQUIRY,1,15.0,SALARIED,MALE,3,3.0,BASIC,3.0,DIVORCED,4.0,0,3,1,0.0,EXECUTIVE,17075.0
200089,1,46.0,SELFENQUIRY,3,15.0,SMALLBUSINESS,MALE,3,4.0,STANDARD,3.0,UNMARRIED,2.0,0,5,0,1.0,SENIORMANAGER,24619.0
200090,0,40.0,COMPANYINVITED,1,6.0,SALARIED,MALE,3,4.0,SUPERDELUXE,4.0,DIVORCED,2.0,0,2,1,2.0,AVP,28503.0
200091,0,51.0,SELFENQUIRY,3,27.0,SMALLBUSINESS,MALE,3,3.0,DELUXE,3.0,SINGLE,1.0,1,5,1,1.0,MANAGER,20441.0
200092,0,30.0,SELFENQUIRY,3,10.0,SMALLBUSINESS,FEMALE,3,4.0,DELUXE,4.0,MARRIED,2.0,1,3,1,1.0,MANAGER,20209.0
200093,0,46.0,COMPANYINVITED,1,6.0,SMALLBUSINESS,MALE,2,4.0,STANDARD,5.0,DIVORCED,3.0,1,2,1,1.0,SENIORMANAGER,25673.0
200095,0,54.0,SELFENQUIRY,1,8.0,LARGEBUSINESS,FEMALE,2,3.0,STANDARD,3.0,DIVORCED,1.0,0,4,1,0.0,SENIORMANAGER,28549.0
200098,0,58.0,SELFENQUIRY,3,16.0,SMALLBUSINESS,MALE,2,3.0,SUPERDELUXE,3.0,SINGLE,1.0,0,3,1,1.0,AVP,28872.0
200099,0,44.0,COMPANYINVITED,1,29.0,SMALLBUSINESS,MALE,3,3.0,DELUXE,4.0,DIVORCED,5.0,0,3,1,0.0,MANAGER,17042.0
200100,1,37.0,SELFENQUIRY,2,12.0,SALARIED,MALE,3,3.0,BASIC,5.0,MARRIED,5.0,1,2,1,0.0,EXECUTIVE,17073.0
200101,0,32.0,SELFENQUIRY,1,6.0,SALARIED,MALE,3,3.0,BASIC,5.0,SINGLE,2.0,0,2,0,2.0,EXECUTIVE,17956.0
200102,1,20.0,COMPANYINVITED,1,12.0,SALARIED,FEMALE,3,4.0,BASIC,3.0,SINGLE,2.0,1,2,1,1.0,EXECUTIVE,17926.0
200104,0,37.0,COMPANYINVITED,1,8.0,SALARIED,MALE,3,4.0,DELUXE,3.0,MARRIED,6.0,0,2,0,1.0,MANAGER,20163.0
200105,0,59.0,COMPANYINVITED,2,8.0,SALARIED,FEMALE,2,4.0,KING,3.0,DIVORCED,1.0,0,2,1,1.0,VP,33844.0
200106,0,50.0,COMPANYINVITED,1,6.0,SALARIED,FEMALE,3,3.0,KING,4.0,DIVORCED,4.0,1,2,0,2.0,VP,33172.0
200107,1,25.0,SELFENQUIRY,3,11.0,SMALLBUSINESS,MALE,2,4.0,DELUXE,3.0,SINGLE,2.0,1,3,1,0.0,MANAGER,20744.0
200108,0,25.0,SELFENQUIRY,1,13.0,SMALLBUSINESS,MALE,3,4.0,BASIC,3.0,DIVORCED,2.0,0,2,1,2.0,EXECUTIVE,17889.0
200109,0,22.0,SELFENQUIRY,1,21.0,SMALLBUSINESS,FEMALE,2,3.0,BASIC,3.0,SINGLE,2.0,0,2,1,1.0,EXECUTIVE,17871.0
200110,0,51.0,COMPANYINVITED,1,6.0,SMALLBUSINESS,FEMALE,1,4.0,STANDARD,5.0,UNMARRIED,4.0,0,2,1,0.0,SENIORMANAGER,22484.0
200111,1,34.0,COMPANYINVITED,1,13.0,SALARIED,MALE,3,5.0,DELUXE,3.0,SINGLE,2.0,1,5,1,1.0,MANAGER,21074.0
200112,0,54.0,COMPANYINVITED,2,32.0,SALARIED,FEMALE,1,2.0,SUPERDELUXE,3.0,SINGLE,3.0,1,3,1,0.0,AVP,32328.0
200113,0,24.0,SELFENQUIRY,1,24.0,SALARIED,MALE,2,3.0,BASIC,3.0,DIVORCED,1.0,0,4,1,0.0,EXECUTIVE,17774.0
200115,0,37.0,SELFENQUIRY,3,9.0,SALARIED,MALE,2,3.0,STANDARD,3.0,UNMARRIED,3.0,0,3,0,0.0,SENIORMANAGER,22428.0
200116,0,34.0,SELFENQUIRY,1,11.0,SMALLBUSINESS,FEMALE,2,4.0,STANDARD,5.0,UNMARRIED,3.0,0,2,0,0.0,SENIORMANAGER,26631.0
200117,0,36.0,COMPANYINVITED,3,17.0,LARGEBUSINESS,FEMALE,3,3.0,STANDARD,3.0,DIVORCED,1.0,0,5,0,0.0,SENIORMANAGER,24738.0
200118,0,36.0,SELFENQUIRY,1,9.0,SALARIED,FEMALE,2,3.0,BASIC,3.0,MARRIED,6.0,0,2,1,0.0,EXECUTIVE,17835.0
200119,0,43.0,COMPANYINVITED,3,32.0,SALARIED,MALE,3,3.0,SUPERDELUXE,3.0,DIVORCED,2.0,1,2,0,0.0,AVP,31959.0
200120,0,30.0,COMPANYINVITED,1,29.0,SALARIED,MALE,3,5.0,BASIC,3.0,MARRIED,2.0,0,3,1,2.0,EXECUTIVE,17613.0
200121,0,33.0,COMPANYINVITED,3,28.0,SMALLBUSINESS,MALE,3,3.0,DELUXE,4.0,DIVORCED,1.0,0,2,0,1.0,MANAGER,21146.0
200123,0,51.0,SELFENQUIRY,1,12.0,SALARIED,MALE,2,3.0,KING,3.0,SINGLE,1.0,0,5,1,0.0,VP,34537.0
200124,1,31.0,SELFENQUIRY,3,12.0,SALARIED,MALE,3,5.0,DELUXE,3.0,DIVORCED,5.0,1,3,1,1.0,MANAGER,21172.0
200125,0,26.0,SELFENQUIRY,1,12.0,SALARIED,FEMALE,2,4.0,BASIC,4.0,DIVORCED,2.0,0,3,1,0.0,EXECUTIVE,17368.0
200126,1,58.0,SELFENQUIRY,1,29.0,SMALLBUSINESS,FEMALE,3,3.0,STANDARD,3.0,DIVORCED,2.0,0,3,1,0.0,SENIORMANAGER,25312.0
200127,1,19.0,SELFENQUIRY,3,28.0,SMALLBUSINESS,MALE,2,3.0,BASIC,3.0,SINGLE,2.0,1,2,0,1.0,EXECUTIVE,16675.0
200128,0,22.0,SELFENQUIRY,1,8.0,LARGEBUSINESS,MALE,3,3.0,BASIC,3.0,DIVORCED,1.0,0,5,1,2.0,EXECUTIVE,17523.0
200129,0,49.0,SELFENQUIRY,1,26.0,SMALLBUSINESS,FEMALE,3,3.0,DELUXE,5.0,DIVORCED,2.0,0,2,1,2.0,MANAGER,21567.0
200131,0,50.0,COMPANYINVITED,3,18.0,SMALLBUSINESS,FEMALE,3,3.0,STANDARD,3.0,UNMARRIED,5.0,0,5,0,0.0,SENIORMANAGER,24208.0
200133,0,41.0,SELFENQUIRY,3,15.0,SALARIED,MALE,3,3.0,STANDARD,3.0,MARRIED,4.0,1,2,0,1.0,SENIORMANAGER,23189.0
200134,0,26.0,SELFENQUIRY,2,31.0,SALARIED,FEMALE,3,3.0,BASIC,3.0,DIVORCED,2.0,0,4,1,0.0,EXECUTIVE,17942.0
200136,1,51.0,COMPANYINVITED,1,14.0,SALARIED,MALE,2,5.0,STANDARD,3.0,UNMARRIED,3.0,0,2,0,1.0,SENIORMANAGER,25650.0
200137,0,39.0,SELFENQUIRY,3,10.0,SALARIED,FEMALE,2,4.0,DELUXE,3.0,DIVORCED,5.0,0,5,1,0.0,MANAGER,20902.0
200138,0,25.0,SELFENQUIRY,3,34.0,SALARIED,MALE,2,4.0,DELUXE,3.0,DIVORCED,3.0,0,4,0,0.0,MANAGER,23639.0
200139,0,30.0,SELFENQUIRY,2,15.0,SALARIED,MALE,2,3.0,DELUXE,3.0,DIVORCED,1.0,1,3,1,1.0,MANAGER,21347.0
200142,0,38.0,SELFENQUIRY,1,9.0,LARGEBUSINESS,FEMALE,2,3.0,DELUXE,3.0,SINGLE,4.0,1,5,0,0.0,MANAGER,1000.0
200143,0,30.0,SELFENQUIRY,1,24.0,SALARIED,FEMALE,3,3.0,BASIC,3.0,SINGLE,2.0,0,2,1,0.0,EXECUTIVE,17632.0
200145,0,30.0,SELFENQUIRY,1,11.0,LARGEBUSINESS,FEMALE,2,3.0,BASIC,5.0,MARRIED,6.0,0,5,1,1.0,EXECUTIVE,18204.0
200146,0,30.0,SELFENQUIRY,1,8.0,SMALLBUSINESS,MALE,2,4.0,BASIC,3.0,SINGLE,1.0,0,4,0,0.0,EXECUTIVE,17720.0
200147,0,41.0,COMPANYINVITED,1,16.0,SALARIED,MALE,3,4.0,SUPERDELUXE,5.0,MARRIED,5.0,0,2,1,0.0,AVP,32181.0
200148,0,41.0,SELFENQUIRY,1,15.0,SALARIED,MALE,3,3.0,BASIC,5.0,DIVORCED,3.0,0,2,0,2.0,EXECUTIVE,17238.0
200149,0,19.0,SELFENQUIRY,1,9.0,SMALLBUSINESS,FEMALE,3,3.0,BASIC,4.0,SINGLE,2.0,0,3,1,2.0,EXECUTIVE,16483.0
200150,0,40.0,COMPANYINVITED,1,32.0,SMALLBUSINESS,FEMALE,2,3.0,DELUXE,4.0,MARRIED,2.0,0,2,1,0.0,MANAGER,20605.0
200151,0,35.0,SELFENQUIRY,3,6.0,SMALLBUSINESS,MALE,3,3.0,STANDARD,4.0,DIVORCED,2.0,0,4,1,2.0,SENIORMANAGER,22295.0
200152,0,53.0,SELFENQUIRY,3,12.0,SMALLBUSINESS,MALE,2,3.0,DELUXE,3.0,DIVORCED,3.0,1,5,0,0.0,MANAGER,17306.0
200153,0,45.0,SELFENQUIRY,1,15.0,SALARIED,MALE,2,3.0,DELUXE,4.0,MARRIED,1.0,0,4,1,0.0,MANAGER,17348.0
200154,0,32.0,COMPANYINVITED,3,14.0,SMALLBUSINESS,FEMALE,2,3.0,STANDARD,3.0,UNMARRIED,2.0,0,4,1,1.0,SENIORMANAGER,23998.0
200156,0,51.0,SELFENQUIRY,1,13.0,SMALLBUSINESS,MALE,2,4.0,DELUXE,3.0,DIVORCED,3.0,0,3,1,1.0,MANAGER,21132.0
200157,0,58.0,SELFENQUIRY,1,15.0,SMALLBUSINESS,FEMALE,3,4.0,BASIC,4.0,DIVORCED,5.0,1,2,1,0.0,EXECUTIVE,18346.0
200158,0,40.0,SELFENQUIRY,3,10.0,SMALLBUSINESS,MALE,3,4.0,STANDARD,3.0,DIVORCED,1.0,0,2,1,0.0,SENIORMANAGER,25855.0
200159,0,34.0,COMPANYINVITED,3,8.0,SMALLBUSINESS,FEMALE,3,3.0,BASIC,3.0,DIVORCED,7.0,0,5,1,2.0,EXECUTIVE,17231.0
200160,0,22.0,SELFENQUIRY,1,25.0,SMALLBUSINESS,MALE,3,3.0,BASIC,3.0,DIVORCED,2.0,0,2,0,1.0,EXECUTIVE,17323.0
200161,0,27.0,COMPANYINVITED,1,15.0,SMALLBUSINESS,MALE,2,3.0,BASIC,4.0,MARRIED,7.0,0,3,0,0.0,EXECUTIVE,17024.0
200162,0,28.0,SELFENQUIRY,1,27.0,SMALLBUSINESS,MALE,2,3.0,BASIC,3.0,DIVORCED,2.0,0,2,0,0.0,EXECUTIVE,17713.0
200163,0,57.0,SELFENQUIRY,1,30.0,SALARIED,MALE,2,2.0,STANDARD,3.0,MARRIED,4.0,1,4,1,1.0,SENIORMANAGER,24439.0
200164,0,27.0,COMPANYINVITED,1,9.0,SMALLBUSINESS,MALE,3,4.0,BASIC,3.0,MARRIED,2.0,1,2,0,2.0,EXECUTIVE,17566.0
200166,0,41.0,SELFENQUIRY,1,20.0,SALARIED,MALE,2,3.0,BASIC,3.0,MARRIED,5.0,0,4,1,1.0,EXECUTIVE,17451.0
200167,0,30.0,SELFENQUIRY,3,11.0,SALARIED,FEMALE,2,3.0,STANDARD,3.0,DIVORCED,3.0,0,4,1,1.0,SENIORMANAGER,24419.0
200168,0,38.0,SELFENQUIRY,3,6.0,SALARIED,FEMALE,2,4.0,DELUXE,3.0,UNMARRIED,5.0,0,2,1,1.0,MANAGER,23686.0
200169,0,32.0,SELFENQUIRY,1,12.0,SALARIED,MALE,2,3.0,BASIC,3.0,SINGLE,4.0,0,2,0,1.0,EXECUTIVE,18038.0
200170,0,27.0,SELFENQUIRY,1,23.0,LARGEBUSINESS,MALE,2,3.0,BASIC,4.0,DIVORCED,1.0,1,4,1,0.0,EXECUTIVE,18058.0
200171,1,19.0,COMPANYINVITED,3,6.0,LARGEBUSINESS,FEMALE,3,5.0,BASIC,5.0,SINGLE,1.0,0,3,1,1.0,EXECUTIVE,17325.0
200172,0,36.0,COMPANYINVITED,1,9.0,SMALLBUSINESS,MALE,1,3.0,BASIC,4.0,SINGLE,5.0,0,4,1,0.0,EXECUTIVE,17088.0
200173,0,30.0,COMPANYINVITED,1,15.0,SMALLBUSINESS,MALE,3,3.0,DELUXE,5.0,MARRIED,2.0,0,2,0,1.0,MANAGER,18072.0
200176,0,33.0,SELFENQUIRY,1,8.0,SALARIED,MALE,2,3.0,BASIC,3.0,SINGLE,1.0,0,3,0,1.0,EXECUTIVE,17500.0
200177,1,19.0,SELFENQUIRY,1,8.0,SALARIED,MALE,2,4.0,BASIC,3.0,SINGLE,2.0,0,5,0,0.0,EXECUTIVE,16102.0
200178,0,46.0,SELFENQUIRY,3,6.0,SMALLBUSINESS,FEMALE,3,3.0,STANDARD,5.0,MARRIED,2.0,0,2,1,1.0,SENIORMANAGER,25453.0
200179,0,38.0,SELFENQUIRY,1,15.0,SALARIED,FEMALE,3,3.0,BASIC,3.0,SINGLE,2.0,0,2,1,1.0,EXECUTIVE,17288.0
200181,0,34.0,SELFENQUIRY,1,33.0,SMALLBUSINESS,FEMALE,3,3.0,BASIC,4.0,SINGLE,3.0,0,3,1,0.0,EXECUTIVE,17311.0
200182,1,41.0,SELFENQUIRY,3,26.0,SMALLBUSINESS,FEMALE,3,3.0,BASIC,4.0,SINGLE,2.0,1,4,0,2.0,EXECUTIVE,18140.0
200185,0,33.0,SELFENQUIRY,1,20.0,SMALLBUSINESS,FEMALE,3,3.0,BASIC,4.0,DIVORCED,2.0,0,5,0,0.0,EXECUTIVE,17756.0
200186,0,40.0,SELFENQUIRY,1,10.0,SMALLBUSINESS,FEMALE,2,3.0,KING,3.0,DIVORCED,2.0,0,5,0,1.0,VP,34033.0
200187,0,55.0,SELFENQUIRY,1,20.0,SMALLBUSINESS,MALE,3,2.0,KING,4.0,SINGLE,1.0,0,2,0,2.0,VP,33722.0
200188,0,34.0,COMPANYINVITED,1,8.0,SALARIED,MALE,2,4.0,DELUXE,3.0,DIVORCED,2.0,0,4,0,0.0,MANAGER,24547.0
200189,0,51.0,SELFENQUIRY,1,9.0,SMALLBUSINESS,FEMALE,3,3.0,SUPERDELUXE,4.0,SINGLE,4.0,0,5,0,1.0,AVP,28734.0
200191,0,27.0,SELFENQUIRY,1,15.0,SMALLBUSINESS,FEMALE,2,3.0,BASIC,4.0,SINGLE,2.0,0,3,1,0.0,EXECUTIVE,17279.0
200192,1,35.0,SELFENQUIRY,1,29.0,SALARIED,MALE,2,4.0,DELUXE,3.0,DIVORCED,4.0,1,4,1,1.0,MANAGER,20916.0
200193,0,43.0,COMPANYINVITED,1,13.0,SMALLBUSINESS,MALE,2,2.0,BASIC,3.0,MARRIED,5.0,0,4,0,1.0,EXECUTIVE,17089.0
